CENTRO BANCARIO INTERNACIONAL,,,,,,,,
Diciembre 2019 ,,,,,,,,
BANCOS,Fecha de Inicio de Operaciones,Procedencia de Capital,Casa Matriz y Sucursales,Cajeros Autom ticos ATM ,Agencias y otros establecimientos,LICENCIA,TIPO BANCO,Comentario
"Austrobank Overseas (Panam ), S.A.",Ago -  1995,Ecuador,2,0,0,Internacional,,S/C
Inteligo Bank Ltd. (4),Ene -  1997,Per£ ,1,0,0,Internacional,,S/C
ITAU (Panam ) S.A. (21),Abr  -  1998,Brasil,1,0,0,Internacional,,Antes Interbank Overseas Ltd. hasta Mayo de 2003.luego Blubank hasta dic.2009
"GNB Sudameris Bank, S.A.",Oct -   2000,Colombia,1,0,0,Internacional,,cambio de raz¢n social en Abril  2017 antes Helm Bank Panam  S. A. 
"GTC Bank, Inc.",Jul  -   2001,Guatemala,1,0,0,Internacional,,S/C
Banco Cr‚dito del Per£,Ago -  2002,Per£ ,1,0,0,Internacional,,S/C
"Bac Bank, INC. ",Feb -  2003,Colombia,1,0,0,Internacional,,S/C
"TAG BANK, S.A",Feb -  2006,Brasil,1,0,0,Internacional,,S/C
"BHD International Bank (Panam ), S.A.",Dic -   2006,R. Dominicana,1,0,0,Internacional,,S/C
"Banco Credit Andorra (Panam ), S. A.",Nov  -  2008,Andorra,1,0,0,Internacional,,S/C
"ANDBANK (Panam ), S.A",Feb  - 2010,Andorra,1,0,0,Internacional,,S/C
"Banca Privada D'Andorra,( Panam  ),S.A (13)",Abr -   2010,Andorra,1,0,0,Internacional,,S/C
"Banco Internacional de Per£, S.A.A. (Interbank)",May -  2010,Per£ ,1,0,0,Internacional,,"Cambio de raz¢n social en marzo  2012 antes Banca Privada D'Andorra, S.A. "
"PKB Banca Privada (Panam ),S.A.",Sep -  2012,Suiza ,1,0,0,Internacional,,S/C
"Banco Davivienda Internacional (Panam ), S.A.",Dic.-   2015,Colombia,1,0,0,Internacional,,S/C
"BPR BANK, S.A.",Jun -   2016,R. Dominicana,1,0,0,Internacional,,S/C
"Banco General (Overseas), Inc.",May -  1986,Panam ,1,0,0,,Banco de Representaci¢n,S/C
Bank Julius Baer & CO. LTD.,Nov  -   2006,Suiza,1,0,0,,Banco de Representaci¢n," Bank Julius Baer & CO. LTD. Absorbi¢ a Merrill Lynch Bank (Suisse), S.A. bajo la resoluci¢n 078-14"
UBS AG,Mar  -  2007,Suiza,1,0,0,,Banco de Representaci¢n,S/C
EFG  (Panam ) S.A.,Sept -  2007,Suiza,1,0,0,,Banco de Representaci¢n,S/C
Commerzbank Representative Office Panam ,Nov -   2007,Alemania,1,0,0,,Banco de Representaci¢n,S/C
Safra National Bank of New York,Jul -    2008,E.U.A.,1,0,0,,Banco de Representaci¢n,S/C
"JPMorgan Chase Bank, N.A",Jul  -   2011,E.U.A.,1,0,0,,Banco de Representaci¢n,S/C
Abanca Corporaci¢n Bancaria S.A., Ago  -  2014,Espa¤a,1,0,0,,Banco de Representaci¢n,S/C
Lombard Odier & Cie (Bahamas) Ltd.,Mar  -  2013,Suiza,1,0,0,,Banco de Representaci¢n,S/C
Boslil  Bank Limited,Abr  -  2015,Sta. Lucia,1,0,0,,Banco de Representaci¢n,S/C
UBS Switzerland AG,Dic -   2015,Suiza,1,0,0,,Banco de Representaci¢n,S/C
"ES Bank (Panam ), S.A.",Mar -  2002,Portugal,0,0,0,Internacional,Liquidaci¢n Forzosa,Agencias y otros establecimientos: Incluye agencia las cuales se encuentran ubicadas dentro de instalaciones de tercer Centro de Tarjetas; Centro de Pr‚stamos y Autobanco.
,,,,,,,,
